estimated_price,car_name,miles,vin,body,primary_damage,secondary_damage,start_code,key_fob,airbags,car_image,url
11017,2015 NISSAN SENTRA S/SV/SR/SL,"4,582 mi (Actual)",VIN: 3N1AB7AP6FY370499 ,Sedan 4 Door,Left Side ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25204732~SID~I1,https://www.iaai.com/Vehicle?itemID=31563312&RowNumber=313&loadRecent=True
2377,2005 FORD FOCUS ZX3,"163,522 mi (Actual)",VIN: 3FAFP31N55R119550 ,Hatchback 2 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25133593~SID~I1,https://www.iaai.com/Vehicle?itemID=31427344&RowNumber=310&loadRecent=True
15744,2015 MERCEDES-BENZ C 400 4MATIC,"106,094 mi (Actual)",VIN: 55SWF6GB1FU027199 ,US,Left Side ,Rear ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25242771~SID~I1,https://www.iaai.com/Vehicle?itemID=31594276&RowNumber=319&loadRecent=True
2645,2006 SUZUKI FORENZA ,"71,197 mi (Actual)",VIN: KL5JD56Z46K258228 ,Sedan 4 Door,Front End ,Roof ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25133192~SID~I1,https://www.iaai.com/Vehicle?itemID=31427218&RowNumber=308&loadRecent=True
10005,2013 CHEVROLET SPARK 1LT,"58,941 mi (Actual)",VIN: KL8CD6S99DC553016 ,Hatchback 4 Door,Left Front ,none,Cannot Test Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24950407~SID~I1,https://www.iaai.com/Vehicle?itemID=31180214&RowNumber=309&loadRecent=True
38140,2019 LEXUS GX ,"3,044 mi (Actual)",VIN: JTJBM7FX0K5213740 ,GX,Front End ,none,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24916801~SID~I1,https://www.iaai.com/Vehicle?itemID=31129857&RowNumber=305&loadRecent=True
4022,1997 HONDA CIVIC EX,"180,130 mi (Actual)",VIN: 1HGEJ814XVL136405 ,Coupe 2 Door,Unknown ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25176084~SID~I1,https://www.iaai.com/Vehicle?itemID=31702968&RowNumber=311&loadRecent=True
11034,2009 NISSAN SENTRA 2.0/2.0S/2.0SL,"174,612 mi (Not Required/Exempt)",VIN: 3N1AB61EX9L678477 ,Sedan 4 Door,Front & Rear ,none,Run & Drive ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=25242676~SID~I1,https://www.iaai.com/Vehicle?itemID=31594254&RowNumber=317&loadRecent=True
8356,2007 NISSAN FRONTIER KING CAB LE/SE/OFF ROAD,"162,044 mi (Not Required/Exempt)",VIN: 1N6AD06U07C402321 ,Pickup 2 Door,Front End ,none,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24917131~SID~I1,https://www.iaai.com/Vehicle?itemID=31129909&RowNumber=307&loadRecent=True
750,2000 TOYOTA CAMRY SOLARA SE,"87,929 mi (Not Actual)",VIN: 2T1CG22P1YC391157 ,Coupe 2 Door,Front End ,none,Run & Drive (Starts With Jump),Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25349936~SID~I1,https://www.iaai.com/Vehicle?itemID=31739656&RowNumber=301&loadRecent=True
9936,2015 NISSAN ALTIMA 2.5/S/SV/SL,"119,641 mi (Actual)",VIN: 1N4AL3APXFC217500 ,Sedan 4 Door,Rear ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24222517~SID~I1,https://www.iaai.com/Vehicle?itemID=30235841&RowNumber=302&loadRecent=True
1550,2003 HONDA CIVIC LX,"105,018 mi (Actual)",VIN: 2HGES16533H520302 ,Sedan 4 Door,None ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25261553~SID~I1,https://www.iaai.com/Vehicle?itemID=31641070&RowNumber=299&loadRecent=True
5026,2008 TOYOTA COROLLA CE/LE/S,"106,709 mi (Actual)",VIN: 2T1BR32E08C886816 ,Sedan 4 Door,Left Side ,Front End ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25331084~SID~I1,https://www.iaai.com/Vehicle?itemID=31721891&RowNumber=306&loadRecent=True
0,1998 VOLVO V70 ,"169,989 mi (Not Actual)",VIN: YV1LW5575W2462236 ,Wagon 4 Door,Unknown ,none,Run & Drive (Starts With Jump),Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25349735~SID~I1,https://www.iaai.com/Vehicle?itemID=31739627&RowNumber=300&loadRecent=True
12214,2010 CHEVROLET SILVERADO K1500 LT,"95,882 mi (Not Actual)",VIN: 1GCSKSE35AZ252521 ,Pickup 4 Door,Front End ,Mechanical ,Cannot Test Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24901961~SID~I1,https://www.iaai.com/Vehicle?itemID=31314395&RowNumber=297&loadRecent=True
5654,1999 TOYOTA CAMRY LE/XLE,"170,938 mi (Not Required/Exempt)",VIN: JT2BG28KXX0320676 ,Sedan 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24880094~SID~I1,https://www.iaai.com/Vehicle?itemID=31781659&RowNumber=298&loadRecent=True
55631,2018 PORSCHE CAYENNE ,34 mi (Not Actual),VIN: WP1AA2A29JKA04677 ,Sport Utility Vehicle 4 Door,Front & Rear ,none,Vehicle Won't Start ,Present,"Spare Tire Present, Alloy Wheels",https://vis.iaai.com/singlethumbnail?imageKeys=25132957~SID~I1,https://www.iaai.com/Vehicle?itemID=31427158&RowNumber=304&loadRecent=True
4510,2012 DODGE CALIBER SXT,"97,862 mi (Actual)",VIN: 1C3CDWDA2CD532715 ,Hatchback 4 Door,Left Front ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24881444~SID~I1,https://www.iaai.com/Vehicle?itemID=31162051&RowNumber=295&loadRecent=True
11685,2015 HONDA CIVIC LX,"40,623 mi (Actual)",VIN: 19XFB2F54FE219482 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24227915~SID~I1,https://www.iaai.com/Vehicle?itemID=30220566&RowNumber=296&loadRecent=True
10542,2016 NISSAN SENTRA S/SV/SR/SL,"67,473 mi (Actual)",VIN: 3N1AB7APXGL637500 ,Sedan 4 Door,Right Side ,Front End ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25024935~SID~I1,https://www.iaai.com/Vehicle?itemID=31261539&RowNumber=293&loadRecent=True
14194,2016 MAZDA 3 SPORT,"42,407 mi (Not Actual)",VIN: JM1BM1U79G1325163 ,Sedan 4 Door,Engine Burn ,All Over ,Cannot Test Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24836415~SID~I1,https://www.iaai.com/Vehicle?itemID=31314352&RowNumber=292&loadRecent=True
9458,2008 CHEVROLET IMPALA LT,0 mi (Not Required/Exempt),VIN: 2G1WT58K781235783 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24913827~SID~I1,https://www.iaai.com/Vehicle?itemID=31115221&RowNumber=303&loadRecent=True
10255,2016 HYUNDAI ELANTRA SE/SPORT/LIMITED,"75,271 mi (Actual)",VIN: KMHDH4AE7GU474957 ,Sedan 4 Door,Front End ,Left Front ,Vehicle Starts ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=23919373~SID~I1,https://www.iaai.com/Vehicle?itemID=31781609&RowNumber=289&loadRecent=True
2435,2004 CHEVROLET IMPALA LS,"180,008 mi (Not Required/Exempt)",VIN: 2G1WH52K249285772 ,Sedan 4 Door,Front End ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24854318~SID~I1,https://www.iaai.com/Vehicle?itemID=31030624&RowNumber=288&loadRecent=True
11960,2010 MERCURY MILAN PREMIER,"47,122 mi (Actual)",VIN: 3MEHM0JA1AR601805 ,Sedan 4 Door,Front End ,Rear ,Vehicle Won't Start ,Present,Deployed,https://vis.iaai.com/singlethumbnail?imageKeys=24913832~SID~I1,https://www.iaai.com/Vehicle?itemID=31129425&RowNumber=290&loadRecent=True
5884,2003 MERCURY GRAND MARQUIS GS,"111,378 mi (Actual)",VIN: 2MEFM74W33X638558 ,Sedan 4 Door,Front End ,none,Vehicle Won't Start ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=24196520~SID~I1,https://www.iaai.com/Vehicle?itemID=30203940&RowNumber=286&loadRecent=True
4427,2005 HYUNDAI ACCENT GS,"133,899 mi (Not Required/Exempt)",VIN: KMHCG35CX5U367111 ,Hatchback 2 Door,Rear ,Left Front ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25024663~SID~I1,https://www.iaai.com/Vehicle?itemID=31273099&RowNumber=291&loadRecent=True
2507,2004 CHEVROLET IMPALA ,"156,879 mi (Not Required/Exempt)",VIN: 2G1WF52E649198960 ,Sedan 4 Door,Right Side ,Right Front ,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25282679~SID~I1,https://www.iaai.com/Vehicle?itemID=31657059&RowNumber=284&loadRecent=True
0,1998 OLDSMOBILE BRAVADA ,"181,300 mi (Actual)",VIN: 1GHDT13WXW2722937 ,Sport Utility Vehicle 4 Door,Mechanical ,none,Run & Drive ,Present,Intact,https://vis.iaai.com/singlethumbnail?imageKeys=25348757~SID~I1,https://www.iaai.com/Vehicle?itemID=31739399&RowNumber=294&loadRecent=True
